# File with transport data and reaction rates for an air chemistry.
# Transport data calculated using the offline BOLSIG+ solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(^2D) + NO -> N2O have actually three-body nature

reaction_list
------------------
# Rotational excitation
e + N2 -> e + N2*(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2*(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2*(v1),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v1),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2*(v2),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2*(v3),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2*(v4),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2*(v5),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2*(v6),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2*(v7),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2*(v8),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2*(v1),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v1),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2*(v2),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v2),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2*(v3),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2*(v4),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2*(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2*(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2*(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2*(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2*(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2*(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2*(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2*(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2*(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2*(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2*(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2*(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2*(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2*(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2*(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(^4S) + N(^2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(^3P) + O(^3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(^3P) + O(^1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(^3P) + O(^1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(^3P),field_table,C28 O2 Attachment
9.772000000000000455e+02 1.206000000000000038e-23
1.000000000000000000e+03 1.181000000000000072e-23
-----------------------


C2 N2 Excitation 0.020 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000021e-02 2.062999999999999885e-17
1.022999999999999951e-02 2.065000000000000028e-17
1.047000000000000014e-02 2.066999999999999864e-17
1.072000000000000036e-02 2.069000000000000007e-17
1.097000000000000058e-02 2.072000000000000068e-17
1.122000000000000081e-02 2.073999999999999903e-17
1.148000000000000062e-02 2.076999999999999964e-17
1.175000000000000003e-02 2.080000000000000026e-17
1.203000000000000076e-02 2.081999999999999861e-17
1.230999999999999976e-02 2.084999999999999922e-17
1.260000000000000009e-02 2.087999999999999983e-17
1.289000000000000042e-02 2.091000000000000044e-17
1.319000000000000034e-02 2.095000000000000023e-17
1.349999999999999985e-02 2.098000000000000084e-17
1.380999999999999936e-02 2.102000000000000063e-17
1.413999999999999979e-02 2.105000000000000124e-17
1.447000000000000022e-02 2.109000000000000102e-17
1.480000000000000066e-02 2.113000000000000081e-17
1.515000000000000027e-02 2.117000000000000060e-17
1.549999999999999989e-02 2.121999999999999956e-17
1.585999999999999910e-02 2.125999999999999935e-17
1.623000000000000137e-02 2.131000000000000139e-17
1.660999999999999976e-02 2.136000000000000036e-17
1.700000000000000122e-02 2.140999999999999932e-17
1.739999999999999880e-02 2.146000000000000137e-17
1.779999999999999985e-02 2.151999999999999951e-17
1.822000000000000008e-02 2.158000000000000073e-17
1.864000000000000032e-02 2.162999999999999969e-17
1.907999999999999974e-02 2.170000000000000009e-17
1.951999999999999916e-02 2.176000000000000131e-17
1.998000000000000123e-02 2.182999999999999863e-17
2.044999999999999943e-02 2.189999999999999902e-17
2.092000000000000109e-02 2.196999999999999942e-17
2.140999999999999848e-02 2.203999999999999982e-17
2.190999999999999892e-02 2.211999999999999939e-17
2.241999999999999896e-02 2.219999999999999897e-17
2.295000000000000165e-02 2.227999999999999854e-17
2.348000000000000087e-02 2.237000000000000038e-17
2.402999999999999928e-02 2.245999999999999913e-17
2.459000000000000075e-02 2.255000000000000096e-17
2.517000000000000140e-02 2.264999999999999889e-17
2.574999999999999858e-02 2.274999999999999989e-17
2.634999999999999842e-02 2.285000000000000090e-17
2.697000000000000092e-02 2.296000000000000109e-17
2.759999999999999953e-02 2.307000000000000127e-17
2.824000000000000121e-02 2.319000000000000063e-17
2.889999999999999861e-02 2.331000000000000000e-17
2.957999999999999866e-02 2.342999999999999936e-17
3.026999999999999830e-02 2.356000000000000098e-17
3.097000000000000100e-02 2.368999999999999951e-17
3.169999999999999901e-02 2.383000000000000031e-17
3.243999999999999662e-02 2.397000000000000111e-17
3.318999999999999728e-02 2.412000000000000108e-17
3.397000000000000020e-02 2.427000000000000105e-17
3.475999999999999923e-02 2.442000000000000102e-17
3.556999999999999745e-02 2.458000000000000017e-17
3.640000000000000180e-02 2.474999999999999850e-17
3.724999999999999839e-02 2.491999999999999990e-17
3.812000000000000111e-02 2.510000000000000049e-17
3.901000000000000301e-02 2.528000000000000107e-17
3.991999999999999715e-02 2.547000000000000083e-17
4.084999999999999742e-02 2.566000000000000059e-17
4.180999999999999994e-02 2.585999999999999952e-17
4.277999999999999858e-02 2.605999999999999846e-17
4.377999999999999947e-02 2.626999999999999965e-17
4.479999999999999954e-02 2.649000000000000002e-17
4.585000000000000187e-02 2.671000000000000039e-17
4.692000000000000337e-02 2.693999999999999994e-17
4.800999999999999712e-02 2.717999999999999866e-17
4.913000000000000006e-02 2.742000000000000047e-17
5.027999999999999831e-02 2.765999999999999919e-17
5.145000000000000268e-02 2.791000000000000017e-17
5.265999999999999848e-02 2.816999999999999725e-17
5.387999999999999734e-02 2.843999999999999966e-17
5.514000000000000151e-02 2.871000000000000208e-17
5.643000000000000099e-02 2.898999999999999751e-17
5.775000000000000272e-02 2.926999999999999910e-17
5.908999999999999669e-02 2.955999999999999987e-17
6.047000000000000292e-02 2.985999999999999981e-17
6.187999999999999751e-02 3.015999999999999975e-17
6.332999999999999741e-02 3.046999999999999888e-17
6.481000000000000649e-02 3.077999999999999800e-17
6.632000000000000395e-02 3.110000000000000246e-17
6.786999999999999977e-02 3.142999999999999993e-17
6.944999999999999785e-02 3.175999999999999740e-17
7.106999999999999429e-02 3.209000000000000104e-17
7.273000000000000298e-02 3.244000000000000303e-17
7.442999999999999616e-02 3.277999999999999968e-17
7.617000000000000159e-02 3.314000000000000085e-17
7.793999999999999539e-02 3.350000000000000201e-17
7.975999999999999757e-02 3.385999999999999701e-17
8.162999999999999423e-02 3.421999999999999818e-17
8.352999999999999314e-02 3.459999999999999770e-17
8.548000000000000043e-02 3.496999999999999804e-17
8.747000000000000608e-02 3.534999999999999756e-17
8.952000000000000235e-02 3.574000000000000242e-17
9.160999999999999699e-02 3.612000000000000194e-17
9.374000000000000388e-02 3.651000000000000063e-17
9.593000000000000138e-02 3.689999999999999933e-17
9.816999999999999338e-02 3.729999999999999720e-17
1.005000000000000060e-01 3.769000000000000206e-17
1.028000000000000025e-01 3.808999999999999993e-17
1.052000000000000018e-01 3.848999999999999780e-17
1.077000000000000041e-01 3.889000000000000183e-17
1.102000000000000063e-01 3.928999999999999971e-17
1.126999999999999946e-01 3.968999999999999758e-17
1.154000000000000026e-01 4.009000000000000161e-17
1.180999999999999966e-01 4.048999999999999948e-17
1.208000000000000046e-01 4.088999999999999736e-17
1.236000000000000015e-01 4.128000000000000221e-17
1.265000000000000013e-01 4.168000000000000009e-17
1.295000000000000040e-01 4.206999999999999878e-17
1.325000000000000067e-01 4.245999999999999748e-17
1.355999999999999983e-01 4.283999999999999699e-17
1.388000000000000067e-01 4.323000000000000185e-17
1.419999999999999873e-01 4.361000000000000137e-17
1.453000000000000125e-01 4.398000000000000171e-17
1.486999999999999988e-01 4.435000000000000206e-17
1.522000000000000020e-01 4.472000000000000240e-17
1.557000000000000051e-01 4.507999999999999740e-17
1.593999999999999861e-01 4.543999999999999857e-17
1.630999999999999950e-01 4.579000000000000056e-17
1.668999999999999928e-01 4.614000000000000255e-17
1.708000000000000074e-01 4.647999999999999920e-17
1.748000000000000109e-01 4.681000000000000283e-17
1.789000000000000035e-01 4.714999999999999948e-17
1.829999999999999960e-01 4.746999999999999778e-17
1.872999999999999943e-01 4.779000000000000224e-17
1.917000000000000093e-01 4.811000000000000054e-17
1.960999999999999965e-01 4.841999999999999966e-17
2.006999999999999895e-01 4.871999999999999960e-17
2.053999999999999992e-01 4.901999999999999955e-17
2.101999999999999980e-01 4.931999999999999949e-17
2.151000000000000134e-01 4.961000000000000026e-17
2.200999999999999901e-01 4.990000000000000103e-17
2.253000000000000003e-01 5.018000000000000262e-17
2.305000000000000104e-01 5.045999999999999805e-17
2.358999999999999986e-01 5.073000000000000046e-17
2.414000000000000035e-01 5.100000000000000288e-17
2.470999999999999863e-01 5.126999999999999913e-17
2.528000000000000247e-01 5.153000000000000237e-17
2.586999999999999855e-01 5.178999999999999945e-17
2.647999999999999798e-01 5.205000000000000268e-17
2.708999999999999742e-01 5.230999999999999976e-17
2.772999999999999909e-01 5.255999999999999766e-17
2.837000000000000077e-01 5.281000000000000172e-17
2.903999999999999915e-01 5.305999999999999962e-17
2.970999999999999752e-01 5.330999999999999752e-17
3.040999999999999814e-01 5.355000000000000241e-17
3.111999999999999766e-01 5.380000000000000031e-17
3.184000000000000163e-01 5.403999999999999903e-17
3.259000000000000230e-01 5.428999999999999693e-17
3.335000000000000187e-01 5.453000000000000181e-17
3.412000000000000033e-01 5.477000000000000054e-17
3.492000000000000104e-01 5.501999999999999844e-17
3.573999999999999955e-01 5.525999999999999716e-17
3.657000000000000250e-01 5.550000000000000204e-17
3.741999999999999771e-01 5.573999999999999460e-17
3.830000000000000071e-01 5.598999999999999867e-17
3.919000000000000261e-01 5.623000000000000355e-17
4.011000000000000121e-01 5.647999999999999529e-17
4.103999999999999870e-01 5.672999999999999935e-17
4.199999999999999845e-01 5.697000000000000424e-17
4.298000000000000154e-01 5.721999999999999597e-17
4.398000000000000242e-01 5.747000000000000004e-17
4.501000000000000001e-01 5.772000000000000410e-17
4.606000000000000094e-01 5.797999999999999501e-17
4.713999999999999857e-01 5.822999999999999907e-17
4.823999999999999955e-01 5.849000000000000231e-17
4.935999999999999832e-01 5.875000000000000555e-17
5.050999999999999934e-01 5.900999999999999646e-17
5.169000000000000261e-01 5.926999999999999970e-17
5.290000000000000258e-01 5.954000000000000212e-17
5.413000000000000034e-01 5.981000000000000453e-17
5.540000000000000480e-01 6.007999999999999462e-17
5.668999999999999595e-01 6.034999999999999704e-17
5.800999999999999490e-01 6.061999999999999945e-17
5.937000000000000055e-01 6.090000000000000104e-17
6.075000000000000400e-01 6.118000000000000264e-17
6.217000000000000304e-01 6.146000000000000423e-17
6.361999999999999877e-01 6.175000000000000500e-17
6.511000000000000121e-01 6.204000000000000576e-17
6.663000000000000034e-01 6.232999999999999421e-17
6.817999999999999616e-01 6.262999999999999415e-17
6.976999999999999869e-01 6.292999999999999409e-17
7.139999999999999680e-01 6.322999999999999404e-17
7.307000000000000162e-01 6.352999999999999398e-17
7.477000000000000313e-01 6.384000000000000543e-17
7.651999999999999913e-01 6.416000000000000373e-17
7.830000000000000293e-01 6.448000000000000202e-17
8.013000000000000123e-01 6.480000000000000032e-17
8.199999999999999512e-01 6.512999999999999780e-17
8.391999999999999460e-01 6.545999999999999527e-17
8.588000000000000078e-01 6.580000000000000425e-17
8.788000000000000256e-01 6.614000000000000090e-17
8.992999999999999883e-01 6.648999999999999672e-17
9.203000000000000069e-01 6.685000000000000405e-17
9.417999999999999705e-01 6.720999999999999905e-17
9.637999999999999901e-01 6.758000000000000556e-17
9.862999999999999545e-01 6.795999999999999891e-17
1.008999999999999897e+00 6.834000000000000460e-17
1.032999999999999918e+00 6.872999999999999713e-17
1.056999999999999940e+00 6.914000000000000034e-17
1.082000000000000073e+00 6.955000000000000355e-17
1.106999999999999984e+00 6.997000000000000594e-17
1.133000000000000007e+00 7.040999999999999435e-17
1.159000000000000030e+00 7.084999999999999509e-17
1.185999999999999943e+00 7.132000000000000569e-17
1.213999999999999968e+00 7.179000000000000396e-17
1.241999999999999993e+00 7.228000000000000058e-17
1.270999999999999908e+00 7.278999999999999555e-17
1.300999999999999934e+00 7.332000000000000121e-17
1.330999999999999961e+00 7.387000000000000522e-17
1.362000000000000099e+00 7.443999999999999525e-17
1.393999999999999906e+00 7.503999999999999514e-17
1.427000000000000046e+00 7.566000000000000571e-17
1.459999999999999964e+00 7.630000000000000230e-17
1.493999999999999995e+00 7.697999999999999560e-17
1.528999999999999915e+00 7.768999999999999876e-17
1.564999999999999947e+00 7.843999999999999862e-17
1.600999999999999979e+00 7.921999999999999601e-17
1.637999999999999901e+00 8.004000000000000243e-17
1.677000000000000046e+00 8.091000000000000473e-17
1.715999999999999970e+00 8.182000000000000374e-17
1.756000000000000005e+00 8.276999999999999946e-17
1.796999999999999931e+00 8.378000000000000256e-17
1.838999999999999968e+00 8.484000000000000154e-17
1.881999999999999895e+00 8.594999999999999640e-17
1.925999999999999934e+00 8.711999999999999865e-17
1.971000000000000085e+00 8.835999999999999514e-17
2.016999999999999904e+00 8.965999999999999900e-17
2.064000000000000057e+00 9.101999999999999793e-17
2.112000000000000099e+00 9.246000000000000259e-17
2.161000000000000032e+00 9.397000000000000149e-17
2.212000000000000188e+00 9.554999999999999463e-17
2.262999999999999901e+00 9.721000000000000582e-17
2.315999999999999837e+00 9.894999999999999810e-17
2.370000000000000107e+00 1.008000000000000060e-16
2.424999999999999822e+00 1.026999999999999974e-16
2.482000000000000206e+00 1.047000000000000053e-16
2.540000000000000036e+00 1.067000000000000008e-16
2.599000000000000199e+00 1.089000000000000045e-16
2.660000000000000142e+00 1.110999999999999959e-16
2.721999999999999975e+00 1.134999999999999954e-16
2.785000000000000142e+00 1.158999999999999950e-16
2.850000000000000089e+00 1.184000000000000109e-16
2.916999999999999815e+00 1.209999999999999940e-16
2.984999999999999876e+00 1.236999999999999935e-16
3.055000000000000160e+00 1.265000000000000094e-16
3.125999999999999890e+00 1.293000000000000007e-16
3.198999999999999844e+00 1.323000000000000001e-16
3.274000000000000021e+00 1.352999999999999996e-16
3.350000000000000089e+00 1.383999999999999908e-16
3.427999999999999936e+00 1.416999999999999902e-16
3.508000000000000007e+00 1.449999999999999896e-16
3.589999999999999858e+00 1.484000000000000054e-16
3.673999999999999932e+00 1.517999999999999965e-16
3.759999999999999787e+00 1.553999999999999959e-16
3.846999999999999975e+00 1.589999999999999952e-16
3.936999999999999833e+00 1.628000000000000027e-16
4.028999999999999915e+00 1.666000000000000102e-16
4.123000000000000220e+00 1.705000000000000095e-16
4.219000000000000306e+00 1.745000000000000005e-16
4.317999999999999616e+00 1.784999999999999916e-16
4.418999999999999595e+00 1.826999999999999908e-16
4.522000000000000242e+00 1.868999999999999900e-16
4.626999999999999780e+00 1.912999999999999974e-16
4.735000000000000320e+00 1.957000000000000048e-16
4.846000000000000085e+00 2.002000000000000040e-16
4.958999999999999631e+00 2.047999999999999949e-16
5.075000000000000178e+00 2.095000000000000023e-16
5.192999999999999616e+00 2.143000000000000014e-16
5.314000000000000057e+00 2.191000000000000005e-16
5.437999999999999723e+00 2.240999999999999831e-16
5.565000000000000391e+00 2.291000000000000151e-16
5.695000000000000284e+00 2.342999999999999812e-16
5.828000000000000291e+00 2.394999999999999967e-16
5.964000000000000412e+00 2.448999999999999957e-16
6.102999999999999758e+00 2.503999999999999865e-16
6.246000000000000441e+00 2.558999999999999772e-16
6.392000000000000348e+00 2.616000000000000008e-16
6.541000000000000369e+00 2.674000000000000162e-16
6.692999999999999616e+00 2.733000000000000233e-16
6.849999999999999645e+00 2.793000000000000222e-16
7.009999999999999787e+00 2.855000000000000046e-16
7.173000000000000043e+00 2.916999999999999870e-16
7.341000000000000192e+00 2.981000000000000023e-16
7.511999999999999567e+00 3.046000000000000093e-16
7.687000000000000277e+00 3.112999999999999999e-16
7.866999999999999993e+00 3.180999999999999822e-16
8.050000000000000711e+00 3.250000000000000055e-16
8.237999999999999545e+00 3.321000000000000124e-16
8.429999999999999716e+00 3.393000000000000111e-16
8.627000000000000668e+00 3.466999999999999933e-16
8.829000000000000625e+00 3.543000000000000083e-16
9.035000000000000142e+00 3.620000000000000151e-16
9.246000000000000441e+00 3.698000000000000137e-16
9.461000000000000298e+00 3.778999999999999875e-16
9.682000000000000384e+00 3.861000000000000024e-16
9.907999999999999474e+00 3.945000000000000009e-16
1.014000000000000057e+01 4.030999999999999828e-16
1.038000000000000078e+01 4.118999999999999977e-16
1.061999999999999922e+01 4.208999999999999960e-16
1.086999999999999922e+01 4.300999999999999778e-16
1.111999999999999922e+01 4.394999999999999925e-16
1.138000000000000078e+01 4.491000000000000401e-16
1.164000000000000057e+01 4.589999999999999643e-16
1.191999999999999993e+01 4.690000000000000282e-16
1.218999999999999950e+01 4.793999999999999605e-16
1.248000000000000043e+01 4.899000000000000325e-16
1.276999999999999957e+01 5.007999999999999730e-16
1.307000000000000028e+01 5.120000000000000366e-16
1.336999999999999922e+01 5.233000000000000428e-16
1.368999999999999950e+01 5.350999999999999584e-16
1.400999999999999979e+01 5.470000000000000137e-16
1.433000000000000007e+01 5.593000000000000361e-16
1.466999999999999993e+01 5.718000000000000420e-16
1.500999999999999979e+01 5.847000000000000149e-16
1.535999999999999943e+01 5.979000000000000125e-16
1.572000000000000064e+01 6.116000000000000182e-16
1.607999999999999829e+01 6.255000000000000074e-16
1.646000000000000085e+01 6.400000000000000458e-16
1.683999999999999986e+01 6.548000000000000102e-16
1.723999999999999844e+01 6.698999999999999992e-16
1.764000000000000057e+01 6.854999999999999963e-16
1.805000000000000071e+01 7.014999999999999604e-16
1.846999999999999886e+01 7.180000000000000313e-16
1.889999999999999858e+01 7.348999999999999707e-16
1.935000000000000142e+01 7.523000000000000168e-16
1.980000000000000071e+01 7.701999999999999724e-16
2.026000000000000156e+01 7.886999999999999772e-16
2.073000000000000043e+01 8.076000000000000476e-16
2.121999999999999886e+01 8.270999999999999700e-16
2.171000000000000085e+01 8.472000000000000403e-16
2.221999999999999886e+01 8.678000000000000200e-16
2.273999999999999844e+01 8.890999999999999914e-16
2.326999999999999957e+01 9.109000000000000696e-16
2.380999999999999872e+01 9.335000000000000818e-16
2.437000000000000099e+01 9.566000000000000036e-16
2.492999999999999972e+01 9.805000000000000567e-16
2.551999999999999957e+01 1.004999999999999962e-15
2.610999999999999943e+01 1.029999999999999974e-15
2.671999999999999886e+01 1.057000000000000018e-15
2.733999999999999986e+01 1.083000000000000046e-15
2.798000000000000043e+01 1.110999999999999909e-15
2.864000000000000057e+01 1.139999999999999986e-15
2.930000000000000071e+01 1.169000000000000063e-15
2.998999999999999844e+01 1.198999999999999959e-15
3.069000000000000128e+01 1.230000000000000068e-15
3.139999999999999858e+01 1.263000000000000013e-15
3.214000000000000057e+01 1.295999999999999957e-15
3.289000000000000057e+01 1.329999999999999918e-15
3.365999999999999659e+01 1.365000000000000092e-15
3.443999999999999773e+01 1.400000000000000069e-15
3.524000000000000199e+01 1.437000000000000079e-15
3.607000000000000028e+01 1.474999999999999908e-15
3.690999999999999659e+01 1.513999999999999950e-15
3.777000000000000313e+01 1.555000000000000024e-15
3.864999999999999858e+01 1.595999999999999902e-15
3.954999999999999716e+01 1.639000000000000009e-15
4.047999999999999687e+01 1.681999999999999918e-15
4.142000000000000171e+01 1.726000000000000042e-15
4.239000000000000057e+01 1.772000000000000000e-15
4.338000000000000256e+01 1.819000000000000173e-15
4.439000000000000057e+01 1.865999999999999950e-15
4.542999999999999972e+01 1.915000000000000155e-15
4.649000000000000199e+01 1.965000000000000178e-15
4.757000000000000028e+01 2.014999999999999808e-15
4.867999999999999972e+01 2.066999999999999864e-15
4.982000000000000028e+01 2.118999999999999920e-15
5.097999999999999687e+01 2.172000000000000189e-15
5.217000000000000171e+01 2.225000000000000064e-15
5.339000000000000057e+01 2.279999999999999972e-15
5.464000000000000057e+01 2.334999999999999880e-15
5.590999999999999659e+01 2.390000000000000182e-15
5.721999999999999886e+01 2.445999999999999908e-15
5.854999999999999716e+01 2.502000000000000030e-15
5.992000000000000171e+01 2.556999999999999937e-15
6.132000000000000028e+01 2.613000000000000058e-15
6.275000000000000000e+01 2.667999999999999966e-15
6.420999999999999375e+01 2.724000000000000087e-15
6.570999999999999375e+01 2.778000000000000176e-15
6.723999999999999488e+01 2.831000000000000051e-15
6.881000000000000227e+01 2.883000000000000107e-15
7.042000000000000171e+01 2.933999999999999950e-15
7.206000000000000227e+01 2.983999999999999973e-15
7.375000000000000000e+01 3.031999999999999964e-15
7.546999999999999886e+01 3.079000000000000136e-15
7.723000000000000398e+01 3.123000000000000062e-15
7.903000000000000114e+01 3.166000000000000169e-15
8.087999999999999545e+01 3.206000000000000031e-15
8.276000000000000512e+01 3.243999999999999859e-15
8.468999999999999773e+01 3.278999999999999836e-15
8.667000000000000171e+01 3.312000000000000175e-15
8.868999999999999773e+01 3.341999999999999874e-15
9.076000000000000512e+01 3.369000000000000115e-15
9.287999999999999545e+01 3.393999999999999930e-15
9.504999999999999716e+01 3.415999999999999893e-15
9.726999999999999602e+01 3.434000000000000186e-15
